Title,UUID,alias,"Show on AZ Index"
"Office of Surface Mining, Reclamation and Enforcement",91a1d936-4420-4621-b176-e2d67cb75400,/agencies/office-of-surface-mining-reclamation-and-enforcement,1
"Bureau of Reclamation",a24541c4-5d1b-4298-9677-090bb526a975,/agencies/bureau-of-reclamation,1
"Corte Suprema de Estados Unidos",6b8a50cf-c6b8-475c-bda7-cb166b9f4e3b,/agencias/corte-suprema-de-estados-unidos,1
"Office of Juvenile Justice and Delinquency Prevention",94b45e4a-149d-4927-b1de-2024efdeb24a,/agencies/office-of-juvenile-justice-and-delinquency-prevention,1
"Federal Retirement Thrift Investment Board",49989c75-9684-4846-802e-e5da982a46da,/agencies/federal-retirement-thrift-investment-board,1
"American Citizens Services and Crisis Management",29f8bad3-6119-4f92-86a7-b73c1443f963,/agencies/american-citizens-services-and-crisis-management,
"Departamento de Justicia",08ef50a5-bd9c-46ea-a28a-d883bc256be5,/agencias/departamento-de-justicia,1
"National Mediation Board",acee3539-7999-4615-bf94-35edab957209,/agencies/national-mediation-board,1
"Susquehanna River Basin Commission",a8647afd-ca87-49cd-a935-dc868ad50175,/agencies/susquehanna-river-basin-commission,1
"Centers for Medicare and Medicaid Services",9653a10b-0ab3-4d77-8de8-125215296476,/agencies/centers-for-medicare-and-medicaid-services,1
"Administración de Asuntos sobre la Vejez",28b891b8-544e-4d5a-a7d3-83e825144b91,/agencias/administracion-de-asuntos-sobre-la-vejez,1
AIDsinfo,5cc886f8-afe0-4171-959d-403d431c33a3,/agencies/aidsinfo,
"Federal Transit Administration",02eb22bb-db51-4c60-9c54-7d5ebefcb943,/agencies/federal-transit-administration,1
"Small Business Administration",f3ac1161-5696-4fe0-8ada-4eaae5f25ae1,/agencies/small-business-administration,1
"Departamento de Seguridad Nacional",272244e3-0bfd-4f78-b51d-fdcbc90e0fb1,/agencias/departamento-de-seguridad-nacional,1
"National Oceanic and Atmospheric Administration",e74a7f7c-a04b-44a5-800c-94ea52811bd6,/agencies/national-oceanic-and-atmospheric-administration,1
"Taxpayer Advocacy Panel",f3347f5a-2acc-431f-a84d-e992fc1002d1,/agencies/taxpayer-advocacy-panel,1
"Chief Acquisition Officers Council",3606002c-7cb3-498b-8d8d-0b00662106ba,/agencies/chief-acquisition-officers-council,1
"Instituto Nacional del Corazón, los Pulmones y la Sangre",8c04b5d8-733d-46be-8c1b-3802662704b1,/agencias/instituto-nacional-del-corazon-los-pulmones-y-la-sangre,1
"Aviation Consumer Protection Division",199970f3-b683-4bd2-9ad0-4af76716606e,/agencies/aviation-consumer-protection-division,
"Food Safety and Inspection Service",cab7ffb9-caa0-4eb7-a108-462e975ac70f,/agencies/food-safety-and-inspection-service,1
"Education Publications Center (EDPUBS)",86bb043f-1a09-495e-a256-741766120c59,/agencies/education-publications-center-edpubs,
"Departamento del Trabajo",fb8c4b17-26ab-4422-a599-c8c4c7aa6c83,/agencias/departamento-del-trabajo,1
"National Park Foundation",2d98b721-b783-49be-b7d6-814d710d96c2,/agencies/national-park-foundation,1
"Defense Health Agency",916a57ba-93e6-4fcf-883f-0393486f66d4,/agencies/defense-health-agency,1
"Chief Human Capital Officers Council",164578f4-254c-40c2-ab3e-8c8eab11a563,/agencies/chief-human-capital-officers-council,1
"Venta de Propiedad Federal",6c2c8b62-09d3-40f4-a82e-6f7d9bdb7902,/agencias/venta-de-propiedad-federal,1
"HIV/AIDS Prevention",8572fde4-b24f-4f64-8aed-f126004a0042,/agencies/hiv/aids-prevention,
"Foreign Claims Settlement Commission",9c098c39-3869-415f-a429-68696b1d115a,/agencies/foreign-claims-settlement-commission,1
"U.S. Commodity Futures Trading Commission",a3e86bfc-d35d-4599-8c35-57d84bbd674a,/agencies/u-s-commodity-futures-trading-commission,1
"Departamento de Asuntos de los Veteranos",3796fb7a-e4e0-4436-acd5-a7235f272b8b,/agencias/departamento-de-asuntos-de-los-veteranos,1
"National Reconnaissance Office",5efcd2a5-f306-4e68-8186-2639d890084c,/agencies/national-reconnaissance-office,1
"U.S. Immigration and Customs Enforcement",5f8cb8d4-bc1d-4951-96bb-18e8cd50156c,/agencies/u-s-immigration-and-customs-enforcement,1
"Citizens' Stamp Advisory Committee",c3499c0e-dddb-4a0e-b5c2-21991ff8e5a5,/agencies/citizens-stamp-advisory-committee,1
"Centro Nacional de Respuesta",4806ea78-602d-469b-80b8-17abba8226af,/agencias/centro-nacional-de-respuesta,1
"National Cancer Institute",5c19e61e-d5bc-4db5-9254-8d93b0da2b6a,/agencies/national-cancer-institute,1
"Office of Fossil Energy",4a69e297-dfd4-4c09-90ad-ac6ac6d8ce34,/agencies/office-of-fossil-energy,1
"U.S. Mint",6a26bb8c-7c23-499a-8ec1-ad8647afbede,/agencies/u-s-mint,1
"Corporación Federal de Seguro de Depósitos",0f93c0ae-f8fe-4fba-96b1-4370b1ba5f9f,/agencias/corporacion-federal-de-seguro-de-depositos,1
"National Security Council",0784a8c8-3f4e-478b-a4a2-d936c87f0d24,/agencies/national-security-council,1
"U.S. Military Academy, West Point",35afd33a-3d3d-4c7b-9d35-6b30fb7f4a83,/agencies/u-s-military-academy-west-point,1
"U.S. Commission on International Religious Freedom",ab855cb0-3aa6-4286-9389-84c92e536e82,/agencies/u-s-commission-on-international-religious-freedom,1
"Línea Directa de Agua Potable",99cd98fd-1700-4920-a53d-c7ebb5956f30,/agencias/linea-directa-de-agua-potable,1
"Office of Manufactured Housing Programs",a7cc4aba-7364-4056-b80a-edadc3a61255,/agencies/office-of-manufactured-housing-programs,1
"U.S. Geological Survey",b4bd8d49-f3fb-4892-a0f3-7ea99766ab37,/agencies/u-s-geological-survey,1
"U.S. Postal Inspection Service",eb03e566-6c9b-464f-9929-f9c383410966,/agencies/u-s-postal-inspection-service,1
"Oficina del Derecho de Autor",620d9868-5807-4f1e-93e0-a2828721ae60,/agencias/oficina-del-derecho-de-autor,1
"National Telecommunications and Information Administration",bb867685-8b84-4cdb-ae3c-b64adf6b98d2,/agencies/national-telecommunications-and-information-administration,1
"U.S. National Central Bureau - Interpol",5d2790c1-e04c-41df-b568-a97755ec5254,/agencies/u-s-national-central-bureau-interpol,1
"U.S. AbilityOne Commission",d896aae2-e9be-4b2a-8b46-72b3d6295555,/agencies/u-s-abilityone-commission,1
"Agencia Federal de Pequeños Negocios de Estados Unidos",208ad47b-9e65-42b4-85f9-d740530c62fa,/agencias/agencia-federal-de-pequenos-negocios-de-estados-unidos,1
"Safe Drinking Water Hotline",068d02f2-a0a1-4471-81ee-9764e185bfc0,/agencies/safe-drinking-water-hotline,
"Government National Mortgage Association (Ginnie Mae)",894abdff-0946-48c6-90b0-2d293f6ff40f,/agencies/government-national-mortgage-association-ginnie-mae,1
"Veterans Health Administration",94a04d6a-fc22-455c-91d9-67d98cb3ecce,/agencies/veterans-health-administration,1
"Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales",888869e3-19d9-4993-86bb-5500edef4e58,/agencias/instituto-nacional-de-la-diabetes-y-las-enfermedades-digestivas-y-renales,1
"National Weather Service",40d5920a-1ea6-4803-907d-ab35d5351980,/agencies/national-weather-service,1
"U.S. Trade and Development Agency",b98a1728-62f9-48f5-a3f3-1c1451c82d16,/agencies/u-s-trade-and-development-agency,1
"Committee on Foreign Investment in the United States",efcc5975-7fa3-4522-b066-0d3b7ee7076f,/agencies/committee-on-foreign-investment-in-the-united-states,1
"Comisión de Negociación de Futuros de Productos Básicos de Estados Unidos",6a24c7e5-f76d-4444-af18-1661616d1165,/agencias/comision-de-negociacion-de-futuros-de-productos-basicos-de-estados-unidos,1
"U.S. Citizenship and Immigration Services",726ce7d9-4a69-4b4d-aa30-bd6aebb88253,/agencies/u-s-citizenship-and-immigration-services,1
"Grain Inspection, Packers and Stockyards Administration",ee8fca06-c921-4917-b033-fa44cd8bcdaf,/agencies/grain-inspection-packers-and-stockyards-administration,1
"Wireless Telecommunications Bureau",c4be6fb0-b9d4-44af-befb-5b5aa4963213,/agencies/wireless-telecommunications-bureau,1
"Comisión de Elecciones Federales",f0d849a1-7874-4068-8a6f-f27af603888a,/agencias/comision-de-elecciones-federales,1
"U.S. Navy",93adcd99-9900-447a-b7da-9a0d86ab655f,/agencies/u-s-navy,1
"Unified Combatant Commands",8090755a-853b-4fdf-b677-1783eba7299e,/agencies/unified-combatant-commands,1
"Office of Community Planning and Development",4711e357-7918-4555-8709-dc2441082348,/agencies/office-of-community-planning-and-development,1
"Consejo Nacional para la Discapacidad",48455f77-c47a-45b6-8bec-c3d8c1d5706b,/agencias/consejo-nacional-para-la-discapacidad,1
"Weights and Measures Division",0fcfd123-1216-43c7-ad10-66324e1851b2,/agencies/weights-and-measures-division,1
"Health Resources and Services Administration",ba6cc446-df98-4407-adb4-c1d9e246e226,/agencies/health-resources-and-services-administration,1
"U.S. Department of Agriculture",1dd679ff-f004-4bf5-b684-4503da72f384,/agencies/u-s-department-of-agriculture,1
"Agencia Federal para el Manejo de Emergencias",cb0cd893-20fa-4cce-bd73-da28a4ad26bb,/agencias/agencia-federal-para-el-manejo-de-emergencias,1
"Northwest Power and Conservation Council",db95aea4-8b68-4ecf-9950-5c3799e3dff3,/agencies/northwest-power-and-conservation-council,1
"Veterans' Employment and Training Service",9cf5d4a6-4b3f-41a0-9cd4-504362816285,/agencies/veterans-employment-and-training-service,1
"Congressional Budget Office",a3592e1f-6530-40bb-9d23-46119e44473d,/agencies/congressional-budget-office,1
"Federal Voting Assistance Program",df557421-0782-46b1-be15-619853afdab0,/agencies/federal-voting-assistance-program,1
"House Office of Inspector General",fced7b51-dc6a-4c5f-b833-696461325fbc,/agencies/house-office-of-inspector-general,1
"U.S. Department of Energy",2579eb59-9d7a-4c30-8ccf-1e2c6992e03d,/agencies/u-s-department-of-energy,1
"Oficina de Eficiencia Energética y Energía Renovable",b52c0de2-d577-4a93-9849-ec574ecb0775,/agencias/oficina-de-eficiencia-energetica-y-energia-renovable,1
"Washington Headquarters Services",2e8d7cf2-f935-4635-b584-a5bad998c3f6,/agencies/washington-headquarters-services,1
"Coordinating Council on Juvenile Justice and Delinquency Prevention",93e1bb92-067c-45be-b969-ad9f369b622e,/agencies/coordinating-council-on-juvenile-justice-and-delinquency-prevention,1
"Farm Credit System Insurance Corporation",d06bd1b0-08ef-45c1-8504-c6978b3ec0de,/agencies/farm-credit-system-insurance-corporation,1
"U.S. House of Representatives",1669561e-df70-4fcf-9955-37baf13db9dc,/agencies/u-s-house-of-representatives,1
"U.S. Department of Homeland Security",03502074-c1ea-4dbd-9464-701dc2393b6e,/agencies/u-s-department-of-homeland-security,1
"USAGov (antes FCIC)",07a7e541-0ed4-4394-9ff1-f5d02e3ace7f,/agencias/usagov-antes-fcic,1
"White House",e8925627-1220-4cdd-8b68-661fe97594fd,/agencies/white-house,1
"Council of Economic Advisers",831a47cc-c2d1-4ea7-9cc5-3457f282ad96,/agencies/council-of-economic-advisers,1
"Administration for Children and Families",c42c3169-e7f8-4c8c-a220-f52709282fcf,/agencies/administration-for-children-and-families,1
"Bureau of Ocean Energy Management",33523ce4-e209-417c-87e6-0baa9653ddd5,/agencies/bureau-of-ocean-energy-management,1
"Indian Arts and Crafts Board",79ad071c-9a60-4671-9145-825667092c56,/agencies/indian-arts-and-crafts-board,1
"Nuclear Waste Technical Review Board",b011bf0b-4116-4b81-a965-fbd6353c80e8,/agencies/nuclear-waste-technical-review-board,1
"U.S. Department of Labor",b03259cd-ffb5-4fad-b2c6-4c4de872875b,/agencies/u-s-department-of-labor,1
"Administración General de Servicios",c2d75032-04fb-4e81-bdc4-026e39fc728c,/agencias/administracion-general-de-servicios,1
"Women's Bureau",d17760f0-ccf1-410c-b656-908983e1c3cf,/agencies/women-s-bureau,1
"Court of Appeals for the Armed Forces",2a8ec5d7-3f3f-4a7d-974b-01e13f18338c,/agencies/court-of-appeals-for-the-armed-forces,1
"U.S. Census Bureau",45c0b543-95c4-48ae-a6c7-ccee253f7b0e,/agencies/u-s-census-bureau,1
"Office of Natural Resources Revenue",2e1ec948-0f5a-4e42-891e-6a3dc254c074,/agencies/office-of-natural-resources-revenue,1
"Dwight D. Eisenhower School for National Security and Resource Strategy",981c9ac2-2097-4061-98a6-489243cb6b6b,/agencies/dwight-d-eisenhower-school-for-national-security-and-resource-strategy,1
"Occupational Safety and Health Review Commission",06395c00-9252-418b-afcc-1128ef4d1c59,/agencies/occupational-safety-and-health-review-commission,1
"U.S. Department of the Interior",8d5bd503-5ac7-418b-ba1f-bfcb8f90c88d,/agencies/u-s-department-of-the-interior,1
"Asociación Nacional Gubernamental Hipotecaria (Ginnie Mae)",314a418c-327a-498d-a3ef-497878a2275b,/agencias/asociacion-nacional-gubernamental-hipotecaria-ginnie-mae,1
"Advisory Council on Historic Preservation",287054b0-68c4-490e-a9a0-e960774081a5,/agencies/advisory-council-on-historic-preservation,1
"U.S. Court of Appeals for Veterans Claims",3101b9b7-7865-4523-a67e-c36d1f976957,/agencies/u-s-court-of-appeals-for-veterans-claims,1
"Center for Nutrition Policy and Promotion",4e8a50b5-9c0e-46ca-b1dd-077d722b32a7,/agencies/center-for-nutrition-policy-and-promotion,1
"U.S. Air Force Reserve Command",f4c9f15e-f623-4f1f-8558-bc74abfa7549,/agencies/u-s-air-force-reserve-command,1
"Institute of Education Sciences",fe356e49-039d-46af-b6c8-180b3e15c067,/agencies/institute-of-education-sciences,1
"Office of Management and Budget",6a656f7f-9871-42b3-a7c8-6f4d4e302b37,/agencies/office-of-management-and-budget,1
"U.S. Department of Transportation",a88f5996-854b-4f89-9abf-411d87cd6d99,/agencies/u-s-department-of-transportation,1
"Oficina de Publicaciones del Gobierno de Estados Unidos",6c2f8921-449c-4cc9-bab6-7f6cc2794393,/agencias/oficina-de-publicaciones-del-gobierno-de-estados-unidos,1
"U.S. Agency for International Development",1668b3cc-94a1-4bb3-bd9b-b582d4712917,/agencies/u-s-agency-for-international-development,1
"Court of International Trade",c369555e-dcc4-4329-816e-4af8420e8d5f,/agencies/court-of-international-trade,1
"Child Welfare Information Gateway",e38814c3-50f3-4fad-a17a-a7b12b898606,/agencies/child-welfare-information-gateway,
"Bureau of the Fiscal Service",bfb4e7ce-2f72-41cd-beb1-e4a43d880992,/agencies/bureau-of-the-fiscal-service,1
"Interagency Alternative Dispute Resolution Working Group",b2317138-9c69-482e-83cf-18e950932b80,/agencies/interagency-alternative-dispute-resolution-working-group,1
"Office of Refugee Resettlement",d3e213ba-8750-46a6-9f86-1abbf84572e4,/agencies/office-of-refugee-resettlement,1
"Federal Communications Commission",f1c7280b-bbbb-41fb-99d6-e23547ca27f1,/agencies/federal-communications-commission,1
"Agencia para la Investigación y la Calidad del Cuidado de la Salud",1a3406a2-8561-4f3a-945b-96746360aa7f,/agencias/agencia-para-la-investigacion-y-la-calidad-del-cuidado-de-la-salud,1
"Appalachian Regional Commission",35dac9c9-9d40-4855-8105-6c30be0d1086,/agencies/appalachian-regional-commission,1
"Defense Acquisition University",c07242a7-b920-4310-a567-53d31693de1c,/agencies/defense-acquisition-university,1
"Consumer Center",e5462a50-a1b8-493e-89b8-55fdb8103e3a,/agencies/consumer-center,
"Council of the Inspectors General on Integrity and Efficiency",ba918429-2406-4388-b410-97ee73d1a580,/agencies/council-of-the-inspectors-general-on-integrity-and-efficiency,1
"Inter-American Foundation",7354e23f-5d93-4da4-8422-f7c45ba92b74,/agencies/inter-american-foundation,1
"Office of Scientific and Technical Information",f1c9b6aa-a1d9-49ec-9e05-88b7d36edbb5,/agencies/office-of-scientific-and-technical-information,1
"Federal Reserve System",d58b5325-44d9-40dc-bde2-afda091b4869,/agencies/federal-reserve-system,1
"Junta de Jubilación de Empleados Ferroviarios",1ddfcb2c-68a3-4b9b-854f-98f489d4133c,/agencias/junta-de-jubilacion-de-empleados-ferroviarios,1
"U.S. Chemical Safety Board",265eaab9-5726-484c-810a-29c74bb3befc,/agencies/u-s-chemical-safety-board,1
"Defense Commissary Agency",10fe1f2a-ce70-4147-b9bd-0b83a5fd0def,/agencies/defense-commissary-agency,1
"U.S. Department of Veterans Affairs",dcdf9ffa-fbf2-4bb4-a3e2-658c836ceaf1,/agencies/u-s-department-of-veterans-affairs,1
"Defense Finance and Accounting Service Garnishment Operations Center",a6debaf1-4d0c-46ad-aa03-f62a025e82ec,/agencies/defense-finance-and-accounting-service-garnishment-operations-center,
"James Madison Memorial Fellowship Foundation",98c3d932-09d7-4a62-ac0d-5b4e9d719e31,/agencies/james-madison-memorial-fellowship-foundation,1
"Office of the Director of National Intelligence",170b7adc-1232-4f11-92f3-4b3e9d53ddd7,/agencies/office-of-the-director-of-national-intelligence,1
"General Services Administration",1638d543-dea7-4839-85f0-5119bdf8a82e,/agencies/general-services-administration,1
"Oficina de Justicia Juvenil y Prevención de la Delincuencia",384d9259-5701-4b7c-8a73-3693234dc58e,/agencias/oficina-de-justicia-juvenil-y-prevencion-de-la-delincuencia,1
AmeriCorps,77b8efc8-80ea-407e-bbcf-2a6f874071a8,/agencies/americorps,1
"Defense Contract Management Agency",25e4303d-76a8-4750-8608-6a2cb6636aa1,/agencies/defense-contract-management-agency,1
"Employee Benefits Security Administration",563a7fe9-6204-44b3-a886-a9d38107e44b,/agencies/employee-benefits-security-administration,1
"Administration for Community Living",8ac5fc39-5865-4f4a-b5c7-0df8406e16d8,/agencies/administration-for-community-living,1
"John F. Kennedy Center for the Performing Arts",2bc3d043-9c60-407f-bed6-c898e2156ec2,/agencies/john-f-kennedy-center-for-the-performing-arts,1
"U.S. Indo-Pacific Command",bdc30723-0107-4ec4-945a-5a9e2c229b4b,/agencies/u-s-indo-pacific-command,1
"Pension Benefit Guaranty Corporation",898c3aa3-f45e-4929-92c5-d64cc16a590a,/agencies/pension-benefit-guaranty-corporation,1
"Servicio de Inspección Sanitaria de Animales y Plantas",74d514af-2458-4a7f-bccd-da2f38ea7c28,/agencias/servicio-de-inspeccion-sanitaria-de-animales-y-plantas,1
"División de Pesos y Medidas",74d7cd6f-8758-4e2b-8cde-6e9e1ed1015e,/agencias/division-de-pesos-y-medidas,1
"Apoyo de los Empleadores a la Guardia Nacional y la Reserva",a4967bfd-1408-405b-8f4d-43770d20e08b,/agencias/apoyo-de-los-empleadores-a-la-guardia-nacional-y-la-reserva,
"Centro de Publicaciones",de4acaae-f208-41ea-a7c0-38fe98a5fc33,/agencias/centro-de-publicaciones,1
"Oficina de Servicios para Ciudadanos en el Exterior",76fa1049-6aae-4adf-9960-6fc28b23db59,/agencias/oficina-de-servicios-para-ciudadanos-en-el-exterior,1
"Ley para Estadounidenses con Discapacidades",83f0ebc3-e33d-499c-b9de-7ffd302e1f8d,/agencias/ley-para-estadounidenses-con-discapacidades,1
"Localizador de Cuidados de Personas Mayores",a48ddf06-6c75-4128-9fb2-079a6c137e79,/agencias/localizador-de-cuidados-de-personas-mayores,1
"Centro de Información sobre el Bienestar de Menores",15b05ece-3ae1-4794-b183-f02939a8c6dc,/agencias/centro-de-informacion-sobre-el-bienestar-de-menores,1
"Centro Nacional de Prevención e Información",bf1537bb-f479-46aa-8600-402a1a85109d,/agencias/centro-nacional-de-prevencion-e-informacion,1
"Centro Nacional de Información de Salud",28eda86d-a071-4570-886f-19a6e355caea,/agencias/centro-nacional-de-informacion-de-salud,1
"Línea de Fraude de HHS",25fcf271-7bac-4c65-815d-b5fa46ae5040,/agencias/linea-de-fraude-de-hhs,1
"Oficina de Derechos Civiles",af1be76a-a6ea-4299-a190-dfb5f60c3920,/agencias/oficina-de-derechos-civiles,1
"Administración Federal de Vivienda",7ac45457-36aa-4fc7-868d-e626d27c655a,/agencias/administracion-federal-de-vivienda,1
"Oficina de Ley de Procedimientos de Liquidación de Bienes Raíces",0886228f-6819-48c3-a679-edab5d76b84f,/agencias/oficina-de-ley-de-procedimientos-de-liquidacion-de-bienes-raices,1
"Programa de Viviendas Prefabricadas",e3eb9c5b-2cb4-4747-bd8a-1ba25f202c21,/agencias/programa-de-viviendas-prefabricadas,1
"Oficina de Grabado e Impresión",3d91b8f2-c609-4d3e-938b-66aae30af0ab,/agencias/oficina-de-grabado-e-impresion,1
"Administración de Empleo y Capacitación",831c600e-0071-41fc-9d28-9e55d40a4687,/agencias/administracion-de-empleo-y-capacitacion,1
"Servicio de Empleo y Capacitación para Veteranos",167c6175-75c1-4e9b-8083-0b1410f4f4ae,/agencias/servicio-de-empleo-y-capacitacion-para-veteranos,1
"Comisión de Asistencia Electoral de EE.UU.",adf4c9a5-5b1a-4066-b5c1-655082c2a112,/agencias/comision-de-asistencia-electoral-de-ee-uu,1
"Guardia Nacional",c9973596-fcb0-4921-bfb7-e29c3a5df0a2,/agencias/guardia-nacional,1
"Oficina de Administración de Energía Oceánica",c20a6158-af3e-4e41-a3af-e901b3e6b59c,/agencias/oficina-de-administracion-de-energia-oceanica,1
"Servicio de Control de Inmigración y Aduanas",504c172f-3aa1-45e3-a81f-c99de083f8ea,/agencias/servicio-de-control-de-inmigracion-y-aduanas,1
"Fuerza Aérea de EE. UU.",a71082fb-1cb7-4586-86f5-ff73eaf5e9f4,/agencias/fuerza-aerea-de-ee-uu,1
"Bureau of Consular Affairs",e4182cb5-7e19-4beb-8589-ba75deae4763,/agencies/bureau-of-consular-affairs,1
"Joint Board for the Enrollment of Actuaries",a9eefff1-75e9-4d25-b355-033a81903300,/agencies/joint-board-for-the-enrollment-of-actuaries,1
"Office of the Pardon Attorney",afe071fe-d031-464d-a918-12a556b5cdc7,/agencies/office-of-the-pardon-attorney,1
"Securities and Exchange Commission",14341f5b-4328-4731-8ae7-98def0bb7752,/agencies/securities-and-exchange-commission,1
"Oficina de Minería de Superficie",c668acab-7f2d-4a24-8670-191f3c3fe1e2,/agencias/oficina-de-mineria-de-superficie,1
"Defense Nuclear Facilities Safety Board",07bdeedc-41e9-470a-8678-78cf02b4e095,/agencies/defense-nuclear-facilities-safety-board,1
"Defense Legal Services Agency",25bda17c-f832-4d83-978c-a5f9fa358e62,/agencies/defense-legal-services-agency,
"Equal Employment Opportunity Commission",64775680-6072-4831-b014-3792c53a6a8d,/agencies/equal-employment-opportunity-commission,1
"Instituto Nacional de Alfabetización",65339416-9c96-41cb-9993-4af0dad14fae,/agencias/instituto-nacional-de-alfabetizacion,1
"Joint Congressional Committee on Inaugural Ceremonies",40d5774a-ed99-4cf0-8aa0-7c6f5eb7e836,/agencies/joint-congressional-committee-on-inaugural-ceremonies,1
"Pentagon Force Protection Agency",23056d8b-3309-4415-b9fe-b3bb3f258995,/agencies/pentagon-force-protection-agency,1
"U.S. Postal Service",75f6e3b3-d857-470b-861d-016ed962d232,/agencies/u-s-postal-service,1
"Administración Nacional de Aeronáutica y el Espacio",38bdecdb-21a8-422d-bf05-09165ea0a54b,/agencias/administracion-nacional-de-aeronautica-y-el-espacio,1
"Farm Credit Administration",556892a0-b913-44e6-ae90-0b912cec8655,/agencies/farm-credit-administration,1
"Defense Counterintelligence and Security Agency",872992b2-751e-4f26-aa73-f93e41c28a44,/agencies/defense-counterintelligence-and-security-agency,1
"Federal Emergency Management Agency",fe732688-8da0-457d-a1ca-8c34eaf2e5cc,/agencies/federal-emergency-management-agency,1
"Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y la Piel",137a8527-8b08-4bc0-af36-1ec4b1860bf7,/agencias/instituto-nacional-de-artritis-y-enfermedades-musculoesqueleticas-y-la-piel,1
"Joint Forces Staff College",9ee0d198-cee6-4948-9597-0af27a974ba5,/agencies/joint-forces-staff-college,1
"Office of Policy Development and Research",95a2e1c6-6bf4-4099-8d3d-daa677b18321,/agencies/office-of-policy-development-and-research,1
"Office of the Federal Register",ddc46448-7dc8-42b3-badb-00756f2fa82d,/agencies/office-of-the-federal-register,1
"Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovascular",8916714f-d83c-4a98-8173-784122496b53,/agencias/instituto-nacional-de-trastornos-neurologicos-y-accidentes-cerebrovascular,1
"Federal Energy Regulatory Commission",2465201b-678e-411d-bb61-07f8c7c0ab74,/agencies/federal-energy-regulatory-commission,1
"Defense Threat Reduction Agency",9c1b53a7-ded1-4b2e-82df-32961bc6eb9d,/agencies/defense-threat-reduction-agency,1
"Federal Reserve Consumer Help",3b267255-5245-4e29-9a72-7fdb942355a7,/agencies/federal-reserve-consumer-help,
"Administración Federal de Aviación",f876e349-97b3-43cd-91f8-b7431745a0cb,/agencias/administracion-federal-de-aviacion,1
"U.S. Courts of Appeal",f0c6c33a-080b-4145-bc01-d2c5ffc5ce88,/agencies/u-s-courts-of-appeal,1
"Postal Regulatory Commission",af487ed4-7109-4b77-92a2-349e603de68b,/agencies/postal-regulatory-commission,1
"Administrative Office of the U.S. Courts",d25aaebc-07c7-4fe7-b874-fa019c9a3ad5,/agencies/administrative-office-of-the-u-s-courts,1
"Instituto Nacional para la Seguridad y Salud Ocupacional",4223f2a0-dc0d-426e-9ca1-710d3a0f9b9d,/agencias/instituto-nacional-para-la-seguridad-y-salud-ocupacional,1
"Federal Housing Finance Agency",d00c8a62-b4e1-48de-9569-6f52cb299df5,/agencies/federal-housing-finance-agency,1
"Denali Commission",be1935b0-902a-49ec-abad-455a3cbf1282,/agencies/denali-commission,1
"Fish and Wildlife Service",cd68a8fb-fa49-4267-b2f6-4dfb2e26a082,/agencies/fish-and-wildlife-service,1
"Administración de Seguridad de Beneficios de los Empleados",bd362a3e-b2d9-4197-8a33-d743db75e3a4,/agencias/administracion-de-seguridad-de-beneficios-de-los-empleados,1
"Office of Justice Programs",2eab6314-ad7c-416b-ae19-3e5eace43180,/agencies/office-of-justice-programs,1
"Presidio Trust",8bd6fd69-2d78-434e-a12e-360f590c25ef,/agencies/presidio-trust,1
"Agency for Toxic Substances and Disease Registry",f58e05f4-3ddf-4887-850d-d2198f368015,/agencies/agency-for-toxic-substances-and-disease-registry,1
"Oficina del Asesor Legal Especial de EE.UU.",d2c3495e-291e-4afa-b1e3-1020b29ae8fc,/agencias/oficina-del-asesor-legal-especial-de-ee-uu,1
"Federal Maritime Commission",04cb7d4b-651f-483e-a973-8a7b3b07e8e8,/agencies/federal-maritime-commission,1
"Economic Growth, Energy, and the Environment",f50fe990-9b8f-430d-b739-c88bebd103e6,/agencies/economic-growth-energy-and-the-environment,1
"Food and Nutrition Service",d5764da4-4a76-4b09-bbe4-05af14062b9b,/agencies/food-and-nutrition-service,1
"Biblioteca del Congreso, División Hispánica",a6797a4c-c6de-41cd-85d1-1a68c79d4d28,/agencias/biblioteca-del-congreso-division-hispanica,1
"Legal Services Corporation",45b4bcfd-2563-4dcb-84b9-3def9ee30637,/agencies/legal-services-corporation,1
"Public and Indian Housing",19dd1085-5e82-4bf9-b216-d6d3cd94949d,/agencies/public-and-indian-housing,1
"Agricultural Research Service",d98b59a0-f551-45c5-a285-53fcad3f4af4,/agencies/agricultural-research-service,1
"Instituto Nacional del Ojo",eabc4529-4916-4900-9a94-7d02ee48c765,/agencias/instituto-nacional-del-ojo,1
"Federal National Mortgage Association (Fannie Mae)",fe1503dd-2f80-4083-a491-19b2b36662ef,/agencies/federal-national-mortgage-association-fannie-mae,1
"Economic Development Administration",7b63ea28-6654-40af-985c-f0aeccc2477e,/agencies/economic-development-administration,1
"HHS-TIPS Fraud Hotline",fbecfdba-a31b-425c-bcfb-cbc3ca4b54c3,/agencies/hhs-tips-fraud-hotline,
"Programa de Bonos de Ahorro del Tesoro de EE. UU.",2edf1b2a-6e73-4b2e-9be9-29ad821a5a59,/agencias/programa-de-bonos-de-ahorro-del-tesoro-de-ee-uu,1
"Marine Mammal Commission",c64b5406-7d84-457e-b497-7747cd369597,/agencies/marine-mammal-commission,1
"Radio Free Asia",860ae51e-f813-4060-a525-2c78507310a1,/agencies/radio-free-asia,1
